code,failed,n_inferred_terminal_states,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,jsd,tts,ttp,ttc,tsr,temporal_state_score,pearson_stat_KLD,pearson_pval_KLD,pearson_stat_SHE,pearson_pval_SHE,spearman_stat_KLD,spearman_pval_KLD,spearman_stat_SHE,spearman_pval_SHE,fate_index_stat,fate_index_pval,terminal_silhouette_soft,terminal_silhouette_pse,terminal_enrichment,n_terminal_states
three_branches_False_0.9_0.3_10,False,,False,0.6124390564390564,5.3742274290423827e-104,0.476004004004004,1.7060147138540078e-112,,0.30599775847993266,1.0,1.0,0.33333333333333337,0.5651311517745429,,,,,,,,,0.7284740636541153,4.027987161195037e-166,0,0,0.5,1
three_branches_False_0.9_0.3_70,False,,False,0.7901695901695901,2.045617131654588e-214,0.5947667667667668,1.6623162352329458e-174,,0.29960625322159,1.0,1.0,0.33333333333333337,0.5621567175670333,,,,,,,,,-0.3218200691580167,1.5743165054385248e-25,0,0,0.5,1
three_branches_False_0.9_0.3_30,False,,False,0.7306700866700867,1.3155481599842691e-167,0.5905825825825826,4.3504905823181534e-172,,0.324385126084569,1.0,1.0,0.33333333333333337,0.5734359540426316,,,,,,,,,0.5867842870079737,1.4575690704559578e-93,0,0,0.5,1
three_branches_True_0.1_0.9_70,False,,True,0.2168132768132768,4.200691823248947e-12,0.1884884884884885,4.450030300488934e-19,"{""values"": [0.34826697139865326, 0.36747818701288576], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.7136948177898097,1.733483139204307e-156,-0.34398281895716487,3.72998899485865e-29,0.5355133275133276,2.7078160098848997e-75,-0.283960327960328,5.3094117771740075e-20,0.11717578517578517,0.00020434073972690095,0.4539428825124261,0.7383215519261235,0.03286619953286618,3
three_branches_True_0.3_0.9_70,False,,True,0.6728865248865249,8.281229355312103e-133,0.5020660660660661,6.283571087458395e-125,"{""values"": [0.3409662896553002, 0.32626771599851384], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.6679496510992803,3.3654009319122386e-130,-0.27571655148553376,6.643370171576937e-19,0.6492666492666493,9.140115125576376e-121,-0.20629527829527833,4.5049005512294334e-11,0.1870725190725191,2.5061622415433863e-09,0.4423167640257741,0.6963048789336913,0.23440106773440106,3
three_branches_True_0.3_0.9_30,False,,True,0.6971063651063653,2.22389470525404e-146,0.5196556556556557,1.0797875162467961e-133,"{""values"": [0.3592361279585503, 0.35378121358102294], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.6637249938461328,5.248280453627333e-128,-0.5673074282400794,3.0410198815942644e-86,0.6512838032838034,9.430496203911953e-122,-0.4372065412065413,6.109498073403021e-48,0.4175041655041656,1.86783479870187e-43,0.4272268622041312,0.7359494054475683,0.23940607273940606,3
three_branches_True_0.9_0.3_50,False,,True,0.8587809067809069,4.073035730341954e-292,0.6765165165165166,3.6757778341183163e-225,"{""values"": [0.2051644183690659, 0.21724135421227236], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.8180917868469338,5.056359131534867e-242,-0.7294991176665079,8.190052019010678e-167,0.8707403870866792,6.56068488215204e-310,-0.7889370682068483,2.7006501310042085e-213,0.7262532422532423,1.2390301647137576e-164,0.5215537097244815,0.7451190748744648,0.3341675008341675,3
three_branches_True_0.3_0.9_50,False,,True,0.6834273714273714,1.4937744343347164e-138,0.5095375375375376,1.293977321956216e-128,"{""values"": [0.36065266172877997, 0.3419437842823415], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.7040837522263572,1.5185001314986394e-150,-0.5359074633563309,2.0135053778551182e-75,0.6749131829131829,6.797331097466305e-134,-0.5085586725586726,6.943773998466596e-67,0.49014770214770215,1.4680869458010408e-61,0.4040918763661939,0.6552684698650297,0.23707040373707042,3
three_branches_True_0.3_0.9_10,False,,True,0.729952461952462,4.039362212637397e-167,0.5504184184184184,9.577632540982224e-150,"{""values"": [0.30514076064336393, 0.4065597355165608], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.7555784596630151,1.4823850189066103e-185,-0.8681934815579432,5.643123003407409e-306,0.7023358383358383,1.7234558600481624e-149,-0.6857508497508498,7.504018720600685e-140,0.7101027141027142,3.079111121306175e-154,0.5779086653974721,0.8469860390465124,0.24941608274941607,3
three_branches_True_0.9_0.3_70,False,,True,0.7901130941130943,2.303335718928952e-214,0.5947107107107107,1.7915052259648459e-174,"{""values"": [0.275218820025618, 0.25969673138209914], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.74015905761225,3.35390852505711e-174,-0.8049518235472484,1.7922863364057526e-228,0.8231958653897874,1.3838939745855945e-247,-0.8695769862572515,4.212237695641575e-308,0.8515944955944956,3.394830252368975e-282,0.37307370726660544,0.7271679574764002,0.3478478478478479,3
three_branches_True_0.9_0.3_30,False,,True,0.7306354666354666,1.3888230233639055e-167,0.5905345345345345,4.636644984446316e-172,"{""values"": [0.24204306684035032, 0.33108440092119074], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.7164989949705493,2.874218035417513e-158,-0.5741187514301853,9.529385964674884e-89,0.8432676992676994,2.4481505763915024e-271,-0.6584519264519265,2.554966781846342e-125,0.5285768645768646,4.6712568043346764e-73,0.5599356556722493,0.8252658770081261,0.22972972972972971,3
three_branches_True_0.9_0.3_10,False,,True,0.6124282324282325,5.431519061763739e-104,0.47603203203203204,1.655639061033263e-112,"{""values"": [0.19467498887023488, 0.4109834138071487], ""index"": [""committed"", ""totipotent""]}",1.0,1.0,1.0,1.0,1.0,0.7639939519753018,4.0696665597669186e-192,-0.7627454452970641,3.983368221807657e-191,0.7339563598786706,7.374894142650105e-170,-0.7491244593275543,1.0583059469942875e-180,0.7346475818590049,2.4543437783109582e-170,0.7086430851918835,0.9321861540380314,0.21438104771438105,3
five_branches_False_0.3_0.3_10,False,,False,0.5324740484740484,2.6248460761353783e-74,0.3543023023023023,3.615441382783195e-63,,0.18956920662170734,1.0,1.0,0.19999999999999996,0.4412649647864139,,,,,,,,,-0.9638371046990077,0.0,0,0,0.5,1
