code,albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla3_0.3_0.7_10030100_500_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,30,5,,hard,0.3028711867789575,1.1637270093040514e-22,0.8013677152563946,5.897212507822809e-225,,,5.881007829986629,27.988043785095215,2.076374931988539,26.786297082901
phyla3_0.3_0.7_10030100_500_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,50,5,,hard,0.3004024952813325,2.656966717155695e-22,0.7977187622832056,1.89743848924908e-221,,,5.976502450983389,29.824175119400024,1.8630274119932435,28.34386086463928
phyla3_0.3_0.7_10030100_500_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,100,5,,hard,0.2967045498172279,9.015627289959444e-22,0.792202092313668,2.793956898800307e-216,,,5.761589312998694,27.747146368026733,2.039236026001163,26.48969554901123
phyla3_0.3_0.7_10030100_750_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,30,5,,hard,0.3028040603887492,1.1902710425208131e-22,0.8012746429829039,7.261397548256639e-225,,,6.488375782006187,26.493370532989506,2.154781607998302,25.23509192466736
phyla3_0.3_0.7_10030100_750_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,50,5,,hard,0.2990993388858826,4.095001558365695e-22,0.7958598385505378,1.0899927360226147e-219,,,5.3600622540107,26.534386157989506,1.968928476999281,25.315969705581665
phyla3_0.3_0.7_10030100_750_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,100,5,,hard,0.2965163078560129,9.58959334954689e-22,0.7920430180372972,3.9165711562336287e-216,,,6.209494630995323,32.50676441192627,2.3366409149894025,31.42610454559326
phyla3_0.3_0.7_1005030_250_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,30,5,,hard,0.3039045841663034,8.217486364383762e-23,0.8024359897871368,5.3689557610663e-226,,,4.8400941169966245,26.563040018081665,1.6039504009968368,25.414960145950317
phyla3_0.3_0.7_1005030_250_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,50,5,,hard,0.3022347551668576,1.440830975248066e-22,0.7996634863991835,2.6174069057941576e-223,,,5.736431461002212,29.18619966506958,1.982228925000527,27.73475217819214
phyla3_0.3_0.7_1005030_250_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,100,5,,hard,0.2979303918301754,6.025006049977351e-22,0.7936582454575656,1.2515826631518009e-217,,,5.132098157002474,28.500627517700195,1.8284715229965511,27.306332111358643
phyla3_0.3_0.7_1005030_500_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,30,5,,hard,0.3028711867789575,1.1637270093040514e-22,0.8013677152563946,5.897212507822809e-225,,,6.065745892003179,25.708956956863403,2.2019032960088225,24.48198413848877
phyla3_0.3_0.7_1005030_500_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,50,5,,hard,0.3004024952813325,2.656966717155695e-22,0.7977187622832056,1.89743848924908e-221,,,5.179474813005072,27.774412870407104,1.952435264000087,26.586953163146973
phyla3_0.3_0.7_1005030_500_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,100,5,,hard,0.2967045498172279,9.015627289959444e-22,0.792202092313668,2.793956898800307e-216,,,5.345153057991411,28.548112630844116,1.7229465179989347,27.31585192680359
phyla3_0.3_0.7_1005030_750_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,30,5,,hard,0.3028040603887492,1.1902710425208131e-22,0.8012746429829039,7.261397548256639e-225,,,5.72777601701091,28.055544137954712,2.050724184009596,26.729341745376587
phyla3_0.3_0.7_1005030_750_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,50,5,,hard,0.2990993388858826,4.095001558365695e-22,0.7958598385505378,1.0899927360226147e-219,,,5.600027522013988,31.816839694976807,2.535663784001372,30.823094129562374
phyla3_0.3_0.7_1005030_750_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,100,5,,hard,0.2965163078560129,9.58959334954689e-22,0.7920430180372972,3.9165711562336287e-216,,,5.456613151996862,26.51092290878296,1.9598684779921312,25.206862449645996
phyla3_0.3_0.7_1005050_250_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,30,5,,hard,0.3039045841663034,8.217486364383762e-23,0.8024359897871368,5.3689557610663e-226,,,5.234978687003604,27.183936834335327,1.7655366480030352,26.11808466911316
phyla3_0.3_0.7_1005050_250_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,50,5,,hard,0.3022347551668576,1.440830975248066e-22,0.7996634863991835,2.6174069057941576e-223,,,5.198142263994669,28.221940755844116,2.0472082759952173,26.97809672355652
phyla3_0.3_0.7_1005050_250_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,100,5,,hard,0.2979303918301754,6.025006049977351e-22,0.7936582454575656,1.2515826631518009e-217,,,5.188806042002398,28.53118920326233,1.931044937009574,27.342543840408325
phyla3_0.3_0.7_1005050_500_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,30,5,,hard,0.3028711867789575,1.1637270093040514e-22,0.8013677152563946,5.897212507822809e-225,,,5.336974081990775,31.85239839553833,1.8716411819914356,30.63265085220337
phyla3_0.3_0.7_1005050_500_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,50,5,,hard,0.3004024952813325,2.656966717155695e-22,0.7977187622832056,1.89743848924908e-221,,,5.648805562988855,26.661950826644897,1.900993663992267,25.444132804870605
phyla3_0.3_0.7_1005050_500_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,100,5,,hard,0.2967045498172279,9.015627289959444e-22,0.792202092313668,2.793956898800307e-216,,,4.676795682011289,28.334903478622437,1.739956183009781,27.087867975234985
phyla3_0.3_0.7_1005050_750_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,30,5,,hard,0.3028040603887492,1.1902710425208131e-22,0.8012746429829039,7.261397548256639e-225,,,4.949715570008266,28.222046613693237,1.8561788130027708,27.049724578857425
phyla3_0.3_0.7_1005050_750_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,50,5,,hard,0.2990993388858826,4.095001558365695e-22,0.7958598385505378,1.0899927360226147e-219,,,5.340495904019917,30.92560124397278,2.175057619009749,29.67614436149597
phyla3_0.3_0.7_1005050_750_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,100,5,,hard,0.2965163078560129,9.58959334954689e-22,0.7920430180372972,3.9165711562336287e-216,,,5.664086746997782,26.406525373458862,2.094456274004187,25.299187183380127
phyla3_0.3_0.7_1005070_250_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,30,5,,hard,0.3039045841663034,8.217486364383762e-23,0.8024359897871368,5.3689557610663e-226,,,5.161589715004084,27.99229741096497,1.654336758001591,26.76029634475708
phyla3_0.3_0.7_1005070_250_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,50,5,,hard,0.3022347551668576,1.440830975248066e-22,0.7996634863991835,2.6174069057941576e-223,,,4.811755553993862,29.56226348876953,1.8447864100016889,28.46372079849243
phyla3_0.3_0.7_1005070_250_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,100,5,,hard,0.2979303918301754,6.025006049977351e-22,0.7936582454575656,1.2515826631518009e-217,,,5.327107935008826,29.125256776809692,1.8833092889981344,27.825824737548828
phyla3_0.3_0.7_1005070_500_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,30,5,,hard,0.3028711867789575,1.1637270093040514e-22,0.8013677152563946,5.897212507822809e-225,,,4.966038889993797,28.101102352142338,1.9883391309995204,26.986702919006348
phyla3_0.3_0.7_1005070_500_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,50,5,,hard,0.3004024952813325,2.656966717155695e-22,0.7977187622832056,1.89743848924908e-221,,,4.862830500016571,27.385525465011597,1.8623256010032492,26.14552617073059
phyla3_0.3_0.7_1005070_500_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,100,5,,hard,0.2967045498172279,9.015627289959444e-22,0.792202092313668,2.793956898800307e-216,,,4.848583316997974,26.106940984725952,1.8604311929957476,24.98347234725952
phyla3_0.3_0.7_1005070_750_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,30,5,,hard,0.3028040603887492,1.1902710425208131e-22,0.8012746429829039,7.261397548256639e-225,,,5.420952851010952,32.276875019073486,2.2956046760082245,30.98895788192749
phyla3_0.3_0.7_1005070_750_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,50,5,,hard,0.2990993388858826,4.095001558365695e-22,0.7958598385505378,1.0899927360226147e-219,,,4.99439287801215,26.368751525878903,1.796638633008115,25.321833610534668
phyla3_0.3_0.7_1005070_750_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,100,5,,hard,0.2965163078560129,9.58959334954689e-22,0.7920430180372972,3.9165711562336287e-216,,,5.731321154991747,26.53990602493286,2.167134265997447,25.268014192581177
phyla3_0.3_0.7_10050100_250_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,30,5,,hard,0.3039045841663034,8.217486364383762e-23,0.8024359897871368,5.3689557610663e-226,,,5.878686192023451,29.9797306060791,1.8403607580112291,28.8368239402771
phyla3_0.3_0.7_10050100_250_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,50,5,,hard,0.3022347551668576,1.440830975248066e-22,0.7996634863991835,2.6174069057941576e-223,,,5.246333570001298,27.98008108139038,2.019823053997243,26.79105854034424
phyla3_0.3_0.7_10050100_250_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,100,5,,hard,0.2979303918301754,6.025006049977351e-22,0.7936582454575656,1.2515826631518009e-217,,,5.659773634994053,28.450358390808105,1.8873231140023563,27.201295375823975
phyla3_0.3_0.7_10050100_500_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,30,5,,hard,0.3028711867789575,1.1637270093040514e-22,0.8013677152563946,5.897212507822809e-225,,,5.263135366010829,28.46933221817017,1.9595744800026296,27.209598779678345
phyla3_0.3_0.7_10050100_500_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,50,5,,hard,0.3004024952813325,2.656966717155695e-22,0.7977187622832056,1.89743848924908e-221,,,4.9734083079965785,26.168253898620605,1.9688429569941943,25.044692277908325
phyla3_0.3_0.7_10050100_500_100_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,100,5,,hard,0.2967045498172279,9.015627289959444e-22,0.792202092313668,2.793956898800307e-216,,,6.036011967997183,29.076221704483032,1.968404269995517,27.62953019142151
phyla3_0.3_0.7_10050100_750_30_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,750,30,5,,hard,0.3028040603887492,1.1902710425208131e-22,0.8012746429829039,7.261397548256639e-225,,,5.682567630006815,27.306150436401367,2.7003640250040917,25.992251873016357
phyla3_0.3_0.7_10050100_750_50_False,phyla3,1000,GRN_100,0.7,0.3,rna,False,50,100,100,Cellrank Pseudotime Kernel,750,50,5,,hard,0.2990993388858826,4.095001558365695e-22,0.7958598385505378,1.0899927360226147e-219,,,5.671497596995323,27.140986680984497,2.164252040005522,26.03838801383972
