albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,5.258506804006174,28.512880086898804,1.8462511350226123,27.240844249725342
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,5.689165278017754,30.243205547332764,2.0448438670136966,28.847317218780518
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,5.222889922995819,30.350812435150146,1.693672945984872,29.115482568740845
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,5.919683029002044,27.016162395477295,1.868344699993031,25.709380388259888
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,6.350823742977809,30.561240434646606,1.9468136559880804,29.210197925567627
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.626753631018801,31.686863660812378,2.1083503720001318,30.2831449508667
phyla5,1000,GRN_100,0.1,0.5,rna,False,30,100,100,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.7522510870185215,27.141096591949463,1.7748452970117796,25.758621215820312
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.277263224998023,29.190437078475952,1.7604255859914701,27.81115198135376
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,6.503242177015636,30.7479145526886,2.067883552022977,29.400153875350952
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,5.461526793020312,29.971641540527344,1.9783821500022896,28.636602640151978
