code,failed,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,fate_index_pval,fate_index_stat,n_terminal_states,pearson_pval_KLD,pearson_stat_KLD,pearson_pval_SHE,pearson_stat_SHE,spearman_pval_KLD,spearman_stat_KLD,spearman_pval_SHE,spearman_stat_SHE,temporal_state_score,terminal_enrichment,terminal_silhouette_pse,terminal_silhouette_soft,tsr,ttc,ttp,tts,jsd_totipotent,jsd_multipotent,jsd_committed,committed,totipotent,multipotent
three_branches_True_0.1_0.1_50:50:30,False,True,0.10194263394263395,0.001246196414743422,0.046510510510510514,0.02764181890267733,1.663563456248021e-157,0.7153021633021633,3,3.0169569977723792e-21,0.2929948205399843,1.3555978654678445e-153,-0.7090645824059333,6.5882470834703795e-18,0.26797992643227675,1.462757375710273e-160,-0.7200615282036096,1.0,0.04287620954287622,0.6194744919238783,0.3285458570734324,1.0,1.0,1.0,1.0,,,,0.23263422000558218,0.12994295565032063,
three_branches_True_0.1_0.1_50:50:50,False,True,0.1038848958848959,0.0010021401776888392,0.04534534534534535,0.031780499393304094,7.555787705716606e-185,0.7546502866502867,3,3.541720110189119e-11,0.20738729038454531,2.201134842521916e-177,-0.7445956016948414,1.126271499841408e-23,0.30972883346769764,9.913624417797044e-178,-0.7450729657163122,1.0,0.047547547547547586,0.7401810402201965,0.4167597180958833,1.0,1.0,1.0,1.0,,,,0.2082631960678892,0.16903423911464752,
three_branches_True_0.1_0.1_50:50:70,False,True,0.23218115218115218,1.0467832828548552e-13,0.15703703703703703,1.0385348488629454e-13,0.0,0.9085783765783767,3,7.569344639518231e-42,0.4101108127814341,0.0,-0.9688113063669374,7.599140667649152e-73,0.5279131109580261,0.0,-0.9065337257923847,1.0,0.14264264264264265,0.7715547905634831,0.5315858465677433,1.0,1.0,1.0,1.0,,,,0.17585228187504334,0.40789166027616225,
three_branches_True_0.1_0.1_50:50:10,False,True,0.10793287193287193,0.0006288404773399711,0.06002402402402402,0.004480127410358364,1.7223211269161616e-69,0.5171724611724612,3,8.257429194417731e-68,0.5116442563700152,5.520984734523502e-94,-0.5878671462306377,1.6386982586562e-50,0.4479421345996191,2.752822643985709e-67,-0.5099032930054952,1.0,0.039539539539539516,0.6442973839745627,0.3699948464380494,1.0,1.0,1.0,1.0,,,,0.24242633848294703,0.11590260878320646,
three_branches_True_0.1_0.1_50:70:30,False,True,0.1025928065928066,0.0011589804623116115,0.04793193193193194,0.023229507699920045,2.3570124942542107e-160,0.7197419397419398,3,1.076665180534204e-22,0.30310249115117394,2.524299463581056e-165,-0.7272872026089867,6.59573492663579e-24,0.3112748377077624,5.662746885276633e-158,-0.7160374781996852,1.0,0.03953953953953956,0.6826154767061237,0.3867767067288255,1.0,1.0,1.0,1.0,,,,0.2147145165700005,0.094418536954407,
three_branches_True_0.1_0.1_50:70:50,False,True,0.1101906021906022,0.00048155928970756756,0.049321321321321325,0.019521063967516693,1.5922865112830837e-215,0.7913809673809674,3,1.0233367268435754e-15,0.25001438889192995,1.2858490519433283e-208,-0.7837016360664505,4.2932068943707845e-17,0.2614669338329836,1.3760895719273034e-219,-0.7957522889749308,1.0,0.04988321654988322,0.6586999537337578,0.34678063611968307,1.0,1.0,1.0,1.0,,,,0.22624227375079753,0.1940721589440088,
three_branches_True_0.1_0.1_50:70:70,False,True,0.24341550341550347,5.924618336574195e-15,0.17274474474474474,2.8458339671490937e-16,0.0,0.9097517017517017,3,4.964105751019422e-25,0.31862258534645443,0.0,-0.9580915750005384,2.2741934293546644e-71,0.5232355236526893,0.0,-0.8976960004185706,1.0,0.13596930263596932,0.8562524474005322,0.6525395898290729,1.0,1.0,1.0,1.0,,,,0.16113780284123777,0.4339526047752371,
three_branches_True_0.1_0.1_50:70:10,False,True,0.11212494412494414,0.00038162532654362495,0.06305905905905906,0.0028271940774653817,1.2753788165280797e-83,0.55999873999874,3,9.842907420800374e-79,0.5458737410647868,1.253388909697032e-147,-0.6992198281329679,2.411666715899197e-61,0.4893782139249308,1.1613380782626115e-81,-0.5544172206313265,1.0,0.039205872539205856,0.6217114048547391,0.3528022050205044,1.0,1.0,1.0,1.0,,,,0.2434932081151319,0.08416942295592299,
three_branches_True_0.1_0.1_50:10:30,False,True,0.32388193188193193,7.452051984336357e-26,0.24571771771771772,2.734271642539677e-31,4.637779380488823e-96,0.5931394251394252,3,9.445403654593335e-85,0.5631713715094052,1.453899297164004e-276,-0.8473379102069628,1.2712047555127637e-76,0.5395576475630889,8.074679977088046e-124,-0.6554620691103219,1.0,0.12429095762429095,0.5903021545255251,0.3793016812858238,1.0,1.0,1.0,1.0,,,,0.2512032187333205,0.3237775092386551,
three_branches_True_0.1_0.1_50:10:50,False,True,0.3230249630249631,1.0176177400962147e-25,0.24266266266266265,1.4744469209478225e-30,8.109344755013946e-94,0.5874387954387954,3,3.1425024598426014e-120,0.6481634157695962,3.24534958767671e-302,-0.8657090025871116,1.1598590855243711e-86,0.5684572962884153,2.7526123897133776e-149,-0.7019974556319885,1.0,0.10860860860860859,0.7454798712317109,0.409930710584546,1.0,1.0,1.0,1.0,,,,0.24204015231217724,0.3259451317289505,
three_branches_True_0.1_0.1_50:10:70,False,True,0.8064484704484705,5.793309308169749e-230,0.5893933933933935,2.101852579476266e-171,0.0,0.8860340620340621,3,7.281853015238513e-278,0.8483324469671093,0.0,-0.934221257333073,7.606983770131517e-197,0.7698477086149698,4.3467439240123536e-204,-0.7784894220091051,1.0,0.3388388388388388,0.8427108971275438,0.6377435147220261,1.0,1.0,1.0,1.0,,,,0.06556777318580082,0.13316691972783798,
three_branches_True_0.1_0.1_50:10:10,False,True,0.3490639330639331,4.990546481271025e-30,0.28293493493493493,6.267425743780848e-41,3.105563820230547e-107,0.6199474999475,3,2.034817814869914e-130,0.668366819154089,0.0,-0.9095889925564064,1.734581537613493e-81,0.553915711661754,1.6752896755486705e-219,-0.7956614551692922,1.0,0.18468468468468469,0.7110392076587547,0.37484475904995485,1.0,1.0,1.0,1.0,,,,0.2514875633378894,0.33227447353860357,
three_branches_True_0.1_0.1_70:30:30,False,True,0.1450861930861931,4.091386752133484e-06,0.07973573573573574,0.0001596294223588914,0.0,0.9806419286419287,3,9.0949231937575e-27,0.3295965184593628,0.0,-0.9770900470841496,5.26010760844294e-45,0.42446283911182936,0.0,-0.9309868593527163,1.0,0.062228895562228916,0.7219868196573803,0.47082245183163923,1.0,1.0,1.0,1.0,,,,0.16682672362938342,0.38485278463640143,
three_branches_True_0.1_0.1_70:30:50,False,True,0.3137966777966778,2.736750872086079e-24,0.23483083083083084,1.0078725471076567e-28,1.5083359775499453e-113,0.6340236220236221,3,1.1516362768104207e-77,0.5426946575298432,3.81643231593e-313,-0.8727948601166327,5.641513032182882e-86,0.5665678502521122,7.665863751249827e-229,-0.805323412927474,1.0,0.11394728061394728,0.6798730025702783,0.3584873044313435,1.0,1.0,1.0,1.0,,,,0.27728937957038985,0.3430471527133045,
three_branches_True_0.1_0.1_70:30:70,False,True,0.31491383091383096,1.848498482690217e-24,0.23705705705705707,3.0753466040483394e-29,2.959564863621746e-106,0.6176986136986138,3,3.887558973744948e-91,0.5804727586888963,2.85991e-317,-0.8753636318739326,3.8072632584910617e-90,0.5778545049723073,1.36844895457994e-228,-0.8050699608416492,1.0,0.10126793460126794,0.5268969317988023,0.3716309687215436,1.0,1.0,1.0,1.0,,,,0.25846233894097786,0.3412978833882671,
three_branches_True_0.1_0.1_70:30:10,False,True,0.8792001872001872,1e-323,0.6820940940940942,7.453603436664053e-229,7.645543520967448e-228,0.8043152763152763,3,8.791921113092864e-184,0.7532437979039446,0.0,-0.9109547715783878,1.0349599963071766e-174,0.7408769879230197,1.136520282899491e-230,-0.8071541930249684,1.0,0.33750417083750417,0.8485284061044888,0.6052019941110279,1.0,1.0,1.0,1.0,,,,0.2288487424011672,0.326879763988891,
three_branches_True_0.1_0.1_70:50:30,False,True,0.09234773634773635,0.0034680220017103297,0.04,0.058218162610294714,6.69879821209046e-118,0.6433193233193234,3,3.419961858365228e-18,0.27021655491472785,2.226394913655283e-117,-0.6422221381919704,2.5678728805285163e-20,0.2862799571231032,4.7182898343727316e-117,-0.6415337278043781,1.0,0.040540540540540536,0.6094198455732692,0.3324560551539815,1.0,1.0,1.0,1.0,,,,0.23358976470657328,0.07075351844698285,
three_branches_True_0.1_0.1_70:50:50,False,True,0.17225956025956027,4.2164536631131606e-08,0.10014414414414415,2.11666290758023e-06,0.0,0.9670332310332312,3,1.1618713758161559e-24,0.31622968997091744,0.0,-0.9694954520200437,7.933865592362798e-47,0.4324357199741556,0.0,-0.9085761086435811,1.0,0.07357357357357358,0.7611281669810648,0.5096005938150987,1.0,1.0,1.0,1.0,,,,0.16087262627662743,0.39308294977458563,
three_branches_True_0.1_0.1_70:50:70,False,True,0.31030275430275434,9.237154433470516e-24,0.23179579579579582,4.994511265157901e-28,1.4558365087385519e-145,0.6957155637155638,3,2.6436326362132937e-104,0.6131622833237607,0.0,-0.9153065767634224,4.7438867230925613e-91,0.580245263156037,6.962623792e-314,-0.8732591119742775,1.0,0.10093426760093427,0.7129910729185782,0.3514938091275244,1.0,1.0,1.0,1.0,,,,0.28047558834110337,0.3484260366565871,
three_branches_True_0.1_0.1_70:50:10,False,True,0.8653105813105813,1.279911509929822e-301,0.6655895895895896,5.158021535231567e-218,2.414974032894158e-221,0.7976086256086257,3,3.3469431244003187e-133,0.6736228004510418,0.0,-0.880607301082049,1.0421229753045914e-134,0.6764227808689269,2.1353591093071415e-223,-0.7997553672969452,1.0,0.3171504838171505,0.792899172443707,0.6076713033087994,1.0,1.0,1.0,1.0,,,,0.24228531439124956,0.3658405843383355,
three_branches_True_0.1_0.1_70:70:30,False,True,0.0974110574110574,0.002043117220956091,0.04314714714714715,0.04104520577861747,5.886244043125425e-147,0.6980854700854702,3,1.414884394607445e-29,0.34644320710876875,5.081014212314869e-155,-0.711358482236887,1.9394389747220945e-26,0.32755313328719887,1.7354657624516854e-149,-0.7023308231563152,1.0,0.04187520854187521,0.6205761633274841,0.32933741376951964,1.0,1.0,1.0,1.0,,,,0.22737043499415882,0.12191805572182011,
three_branches_True_0.1_0.1_70:70:50,False,True,0.1013943413943414,0.001324407053341049,0.044000000000000004,0.03720961025961947,1.2849152655074826e-205,0.7802655002655003,3,9.933449903376824e-08,0.16750195876084303,9.212322754024832e-169,-0.7323617406733924,4.498033181148847e-22,0.29881566270759846,1.5490793145190367e-164,-0.7261077172292056,1.0,0.0448782115448782,0.8065020084618152,0.5965035107047185,1.0,1.0,1.0,1.0,,,,0.17811343606148977,0.28348267177821895,
three_branches_True_0.1_0.1_70:70:70,False,True,0.3078941718941719,2.116519901656521e-23,0.22876876876876875,2.414809655482536e-27,0.0,0.8817610737610739,3,7.375877593695562e-88,0.5717193572267242,0.0,-0.9263238671499449,2.702431894603096e-31,0.35626829693108913,0.0,-0.8966632319595169,1.0,0.0985985985985986,0.893706356298601,0.6995984542266742,1.0,1.0,1.0,1.0,,,,0.25437101680663765,0.5257140374068994,
three_branches_True_0.1_0.1_70:70:10,False,True,0.10411644811644812,0.0009761976700744457,0.053385385385385384,0.011475786427642343,9.070008970776093e-78,0.543004803004803,3,7.57159511927799e-63,0.4947034049563815,2.777095535661774e-107,-0.6200585402328747,1.8777808837355174e-47,0.4351265710916924,7.616510992081712e-77,-0.5402295826820008,1.0,0.03853853853853856,0.6700963712457629,0.34702244262302534,1.0,1.0,1.0,1.0,,,,0.24498588074777194,0.07590433960321596,
three_branches_True_0.1_0.1_70:10:30,False,True,0.790917898917899,4.233980040473506e-215,0.5708468468468468,6.505156117299194e-161,0.0,0.9390636030636033,3,3.6205232570951486e-242,0.8182269701881673,0.0,-0.9248080693876666,7.390060167230989e-159,0.7174206026872973,5.193289581096732e-223,-0.7993538459577717,1.0,0.3318318318318318,0.8663599658850629,0.6638950740550325,1.0,1.0,1.0,1.0,,,,0.052420048425435906,0.1608145236381623,
three_branches_True_0.1_0.1_70:10:50,False,True,0.7975208815208815,2.9262699877426386e-221,0.5804164164164164,2.76760185165085e-166,0.0,0.9097018057018058,3,8.382412407563265e-259,0.8330098725355016,0.0,-0.94275350998493,1.8258861792967314e-176,0.7433242576168454,4.3845709676900993e-218,-0.7941474082790506,1.0,0.3428428428428429,0.8593035298534828,0.6589546753527584,1.0,1.0,1.0,1.0,,,,0.050487653354122045,0.14955850669800777,
three_branches_True_0.1_0.1_70:10:70,False,True,0.8164311364311365,2.992885088976495e-240,0.6024104104104104,5.752851322901711e-179,2.5947863932641447e-216,0.7922369042369043,3,1.3052553924645472e-264,0.8378520513947175,0.0,-0.9288081386303572,1.2369421737431559e-306,0.8686239245576566,4.243905293189018e-202,-0.7761537809243451,1.0,0.3214881548214881,0.864403700869411,0.6754519375433299,1.0,1.0,1.0,1.0,,,,0.05414369517564498,0.18736674056456726,
three_branches_True_0.1_0.1_70:10:10,False,True,0.7812246492246493,1.892512473876694e-206,0.5535255255255256,2.036115686830471e-151,0.0,0.9545941625941626,3,1.4206741077466377e-262,0.836171778270375,0.0,-0.9704058190183553,8.989692872965202e-232,0.8082476995749266,0.0,-0.9336442587779431,1.0,0.3588588588588588,0.8479955747636607,0.6232648698508494,1.0,1.0,1.0,1.0,,,,0.08880006759748622,0.15459811496377662,
