albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,50,,,,0.835418606143302,1.14285528745325e-261,0.8003781083781084,5.359208867423553e-224,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,250,50,,,,0.8355599429249743,7.734279492239455e-262,0.8004879804879805,4.1971487567878657e-224,-0.6114586049612274,1.4019829242563761e-103,0.32416277382590536,0.5347031353263433
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,100,,,,0.8756534939284301,9.663045e-318,0.8675925035925037,4.655441975339815e-305,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,250,100,,,,0.8759463081841661,3.22014e-318,0.867850791850792,1.882109867182666e-305,-0.31451707112013827,2.125328476402465e-24,0.32416511605235687,0.5332528975258485
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,30,,,,0.8305499616370683,6.349082912386757e-256,0.790869754869755,4.686458148148196e-215,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,500,30,,,,0.8305810177559382,5.843183105555675e-256,0.790904134904135,4.3586970509021346e-215,-0.6884785949022949,2.1609151394206272e-141,0.3786760014184845,0.581244363593145
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,50,,,,0.8344530274148576,1.6299207453400428e-260,0.7964652764652764,2.9272597729294237e-220,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,500,50,,,,0.834505379465833,1.4118234167865036e-260,0.7965258165258164,2.5660312345407042e-220,-0.5683405054594342,1.279377463699681e-86,0.41133148983535983,0.6089708941985893
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,100,,,,0.875997080554693,2.66074e-318,0.8663438543438544,3.612000745891134e-303,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,500,100,,,,0.8760223930846549,2.4192e-318,0.8663448623448625,3.599398837226259e-303,-0.4361132178094813,1.103451577227566e-47,0.33473655735203967,0.5428429319059481
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,30,,,,0.8304486777278662,8.322773252815802e-256,0.7894112974112975,1.0027141419062328e-213,-0.5441198998289933,3.835665282264785e-78,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,750,30,,,,0.830474322633263,7.771595724533742e-256,0.7894322134322135,9.59783774110848e-214,-0.7066558989279497,4.11872800389369e-152,0.28221442437873184,0.5005887511433241
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,50,,,,0.8340823451940956,4.500609252994831e-260,0.7943649503649504,2.7475356513856113e-218,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,750,50,,,,0.8341164426860868,4.09960064318326e-260,0.7943864663864664,2.6233356643244574e-218,-0.5802428557442834,4.753887039225837e-91,0.3774360193752088,0.577822465672867
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,100,,,,0.8757692069902732,6.261314e-318,0.8663972423972425,3.00150066874857e-303,,,,
phyla3,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,palantir,750,100,,,,0.8757943157862061,5.698346e-318,0.8664024744024744,2.947518162351655e-303,-0.46721499833067265,2.2963395604427922e-55,0.3568207091184096,0.560506883183966
phyla3,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,30,,,,0.758738550370331,5.4799067716997605e-188,0.7642553962553963,2.5195501418678376e-192,,,,
