albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,500,30,5,,hard,0.4934309378346511,1.7409242066408437e-62,,,0.6801890364965586,9.21783860387856e-137,,0.4666491205082621
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,500,30,5,,hard,0.6793588334374853,2.6296031886310635e-136,,,0.8028727390378083,2.007003443450746e-226,0.2520703760688124,0.46984513547744494
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,500,50,5,,hard,0.4840971582731077,7.031087389674637e-60,,,0.6832315363238638,1.9196251804560595e-138,,0.46984513547744494
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,500,50,5,,hard,0.6888769572382841,1.2829464008944936e-141,,,0.8098000117325324,2.384271636709903e-233,0.25194374312323403,0.4696659553441089
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,500,100,5,,hard,0.46411830110598934,1.4520174728725462e-54,,,0.6795892160566772,1.9665535090735152e-136,,0.4696659553441089
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,500,100,5,,hard,0.7011305263502868,9.107480544678732e-149,,,0.8142655811672838,5.7585429365943166e-238,0.25248772656435514,0.47032306815555014
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,750,30,5,,hard,0.49603845953200854,3.148954102542221e-63,,,0.6828075770922849,3.3017651928080514e-138,,0.47032306815555014
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,750,30,5,,hard,0.680242543241926,8.614610126469468e-137,,,0.8041364320986882,1.1481410507874637e-227,0.25045708793149585,0.4676617262209011
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,750,50,5,,hard,0.48773553474030007,6.928907891680353e-61,,,0.6866578481618196,2.3168657394412054e-140,,0.4676617262209011
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,750,50,5,,hard,0.6903150089477922,1.939803930398149e-142,,,0.8116858723091075,2.770689589298594e-235,0.25087973222811055,0.4682280470470085
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,cellrank_pseudotime_kernel,750,100,5,,hard,0.46316816088510326,2.5472571679064664e-54,,,0.680476289208543,6.408487646101438e-137,,0.4682280470470085
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,70,cellrank_pseudotime_kernel,750,100,5,,hard,0.7011920458798983,8.367281700719003e-149,,,0.8153464529639352,4.207030469184327e-239,0.25060291193838086,0.4676925295526062
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,250,30,5,,hard,0.734161965357882,5.3184347071022475e-170,,,0.8496940486463742,1.1662677783991045e-279,,0.4676925295526062
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,250,30,5,,hard,0.7427730532542323,4.5514511698759936e-176,,,0.8498996354776648,6.225274868485539e-280,0.25035957784328833,0.45238222640129006
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,250,50,5,,hard,0.7387629791174956,3.263463182785932e-173,,,0.8538741320878116,2.7642524737633363e-285,,0.45238222640129006
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,250,50,5,,hard,0.748518355140089,2.970235314117539e-180,,,0.8535256266270249,8.265122957672595e-285,0.2514637575486497,0.4539603539565397
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,250,100,5,,hard,0.5392528424599358,1.6031071531828464e-76,,,0.7371526452072533,4.421800974246398e-172,,0.4539603539565397
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,250,100,5,,hard,0.760258604946782,3.592698128745501e-189,,,0.8683872029516773,2.851986998541335e-306,0.2569138392007901,0.46124981689356775
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,500,30,5,,hard,0.7344111250808522,3.577334783414205e-170,,,0.8497664603321755,9.350091505822773e-280,,0.46124981689356775
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,500,30,5,,hard,0.7426139320557645,5.922059267191388e-176,,,0.8497720178841545,9.192786566099412e-280,0.2527265547092743,0.45538013441833053
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,500,50,5,,hard,0.7395207618101922,9.508644985368517e-174,,,0.8538214545018,3.2625429555457606e-285,,0.45538013441833053
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,500,50,5,,hard,0.7487688618630328,1.9395967890320695e-180,,,0.8534119578234358,1.1806671483874833e-284,0.25282417745379127,0.4555469796625205
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,500,100,5,,hard,0.5359936465941657,1.8871022516675904e-75,,,0.7364499039957217,1.3707249801924858e-171,,0.4555469796625205
