albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,100,,,,0.3568609938174318,2.1188684608080882e-31,0.33930702330702334,2.2984512627676115e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,100,,,,0.35675265605359174,2.215299287812947e-31,0.3393478953478954,2.26250977687993e-28,-0.5880806912341328,4.557056785038437e-94,0.19853376529318784,0.3973166030424823
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,30,,,,0.349333853288377,4.480137946773665e-30,0.3261619701619702,3.2370521303498784e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,30,,,,0.34924940286992967,4.634004422915955e-30,0.32614122214122215,3.2618121876105365e-26,-0.03378810221927017,0.28577227681530676,0.39976100939518333,0.7650172432216945
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,50,,,,0.35448400908076005,5.6035214055015835e-31,0.33575572775572776,8.959130102103367e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,50,,,,0.3544090642106706,5.77722465257916e-31,0.3357560877560878,8.957902685638398e-28,-0.31539960772595993,1.5577199884657871e-24,0.36568941378030667,0.6886606498222154
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,750,100,,,,0.35708910343090766,1.9292243425375824e-31,0.34015922815922817,1.6538814675349358e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,750,100,,,,0.3570261270260592,1.979832105518351e-31,0.3401605481605482,1.6530372696957683e-28,-0.5859923530998643,2.9577672319125323e-93,0.25746356620487426,0.5017525994332912
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,30,,,,0.3496200449410371,3.99539846104329e-30,0.32590642990642993,3.555411172632652e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,250,30,,,,0.3492846263463092,4.5692017051374394e-30,0.32586766986766985,3.606333171263308e-26,-0.48653558719300577,1.4924719163936844e-60,0.30550475585135584,0.5944797597815409
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,50,,,,0.35425899406297917,6.141251663659841e-31,0.3348479508479509,1.2649058772897974e-27,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,50,palantir,250,50,,,,0.3539899359168883,6.851725993090451e-31,0.335003159003159,1.1925670842637428e-27,-0.5084824654498339,7.316697016700755e-67,0.2279023909634334,0.4485535377105925
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,50,palantir,250,100,,,,0.3567117817650255,2.252800815281935e-31,0.33895904695904694,2.628266121825584e-28,,,,
