albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.6383890078754632,1.4230410460613522e-115,,2.599299570495478e-191,,,,,0.762979674979675
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,250,100,,,,0.6274236749129983,1.5110018431086834e-110,,1.2985008796492438e-102,,,0.06047604347679166,0.1985433485133394,0.6091692211692212,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,250,100,,,,0.6274130627992526,1.5276776148826025e-110,,1.293200670906581e-102,-0.6250963066473086,1.6605684641023667e-109,0.02020273046238188,0.1205850787457499,0.6091734451734452,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,30,,,,0.5439560288761932,4.353678603396551e-78,,5.225064725083728e-63,0.10802715137350577,0.0006219339753460317,0.02020273046238188,0.1205850787457499,0.49526858726858725,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,30,,,,0.5439549665181683,4.357254499409499e-78,,5.262349793622135e-63,-0.7243187958297939,2.38384804221072e-163,0.21413861912224766,0.36709155984868685,0.4952577632577632,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,50,,,,0.5993616977322763,1.467863269949013e-98,,2.4750062203222883e-111,,,0.21413861912224766,0.36709155984868685,0.6291672411672412,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,50,,,,0.5993608683093611,1.4690022629147533e-98,,2.4750062203222883e-111,-0.7445737787055908,2.282783289927609e-177,0.038701398091487364,0.15925753722422092,0.6291672411672412,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,100,,,,0.6274975686624896,1.3998079975474755e-110,,5.931312462557746e-103,,,0.038701398091487364,0.15925753722422092,0.609977253977254,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,500,100,,,,0.6274968816411703,1.400803292351033e-110,,5.997129227739387e-103,-0.6228658912144132,1.6204406889023497e-108,0.08275952810052374,0.23149951013434408,0.6099658899658901,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,30,,,,0.5437166176610173,5.238153338850664e-78,,5.733536503086232e-63,0.16730369669016082,1.0289229672283965e-07,0.08275952810052374,0.23149951013434408,0.49512719112719117,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,30,,,,0.5437149914656635,5.244735250456065e-78,,5.733536503086232e-63,-0.6977413439450123,9.397246707912923e-147,0.14223237839249087,0.29889089691123877,0.49512719112719117,True
